book,lex,sp,vs,vt,ctyp,ptyp,gloss
2_chr,במה,subs,,,,,high place
2_chr,אשׁר,conj,,,NmCl,CP,<relative>
2_chr,ב,prep,,,,PP,in
2_chr,גבעונ,nmpr,,,,,Gibeon
2_chr,כי,conj,,,xQtX,CP,that
2_chr,שׁמ,advb,,,,AdvP,there
2_chr,היה,verb,qal,perf,,VP,be
2_chr,אהל,subs,,,,NP,tent
2_chr,מועד,subs,,,,,appointment
2_chr,ה,art,,,,,the
2_chr,אלהימ,subs,,,,,god(s)
2_chr,אשׁר,conj,,,xQtX,CP,<relative>
2_chr,עשׂה,verb,qal,perf,,VP,make
2_chr,משׁה,nmpr,,,,PrNP,Moses
2_chr,עבד,subs,,,,,servant
